Sample_ID;cellline;treatment;replicate
AS-641773-LR-57123;H1299_H2;DMSO;rep_01
AS-641775-LR-57123;H1299_H2;DAC;rep_01
AS-641777-LR-57123;H1299_H2;SB939;rep_01
AS-641779-LR-57123;H1299_H2;DACSB;rep_01
AS-641781-LR-57123;H1299_H2;DMSO;rep_02
AS-641783-LR-57123;H1299_H2;DAC;rep_02
AS-641785-LR-57123;H1299_H2;SB939;rep_02
AS-641787-LR-57123;H1299_H2;DACSB;rep_02
AS-641789-LR-57123;H1299_H2;DMSO;rep_03
AS-641791-LR-57123;H1299_H2;DAC;rep_03
AS-641793-LR-57123;H1299_H2;SB939;rep_03
AS-641795-LR-57123;H1299_H2;DACSB;rep_03
AS-753226-LR-60267;OCI_AML3;DMSO;rep_01
AS-753228-LR-60267;OCI_AML3;DACSB;rep_01
AS-753230-LR-60267;OCI_AML3;DMSO;rep_02
AS-753232-LR-60267;OCI_AML3;DACSB;rep_02
AS-753234-LR-60267;OCI_AML3;DMSO;rep_03
AS-753236-LR-60267;OCI_AML3;DACSB;rep_03
AS-753238-LR-60267;HL60;DMSO;rep_01
AS-753240-LR-60267;HL60;DACSB;rep_01
AS-753242-LR-60267;HL60;DMSO;rep_02
AS-753244-LR-60267;HL60;DACSB;rep_02
AS-753246-LR-60267;HL60;DMSO;rep_03
AS-753248-LR-60267;HL60;DACSB;rep_03
AS-753250-LR-60267;NCI_H2122;DMSO;rep_01
AS-753252-LR-60267;NCI_H2122;DACSB;rep_01
AS-753254-LR-60267;NCI_H2122;DMSO;rep_02
AS-753256-LR-60267;NCI_H2122;DACSB;rep_02
AS-753258-LR-60267;NCI_H2122;DMSO;rep_03
AS-753260-LR-60267;NCI_H2122;DACSB;rep_03
AS-753262-LR-60267;NCI_H1395;DMSO;rep_01
AS-753264-LR-60267;NCI_H1395;DACSB;rep_01
AS-753266-LR-60267;NCI_H1395;DMSO;rep_02
AS-753268-LR-60267;NCI_H1395;DACSB;rep_02
AS-753270-LR-60267;NCI_H1395;DMSO;rep_03
AS-753272-LR-60267;NCI_H1395;DACSB;rep_03
AS-760477-LR-60423;A172;DMSO;rep_01
AS-760479-LR-60423;A172;DACSB;rep_01
AS-760481-LR-60423;A172;DMSO;rep_02
AS-760483-LR-60423;A172;DACSB;rep_02
AS-760485-LR-60423;A172;DMSO;rep_03
AS-760487-LR-60423;A172;DACSB;rep_03
AS-760489-LR-60423;T98G;DMSO;rep_01
AS-760491-LR-60423;T98G;DACSB;rep_01
AS-760493-LR-60423;T98G;DMSO;rep_02
AS-760495-LR-60423;T98G;DACSB;rep_02
AS-760497-LR-60423;T98G;DMSO;rep_03
AS-760499-LR-60423;T98G;DACSB;rep_03
AS-760501-LR-60423;HCT116;DMSO;rep_01
AS-760503-LR-60423;HCT116;DACSB;rep_01
AS-760505-LR-60423;HCT116;DMSO;rep_02
AS-760507-LR-60423;HCT116;DACSB;rep_02
AS-760509-LR-60423;HCT116;DMSO;rep_03
AS-760511-LR-60423;HCT116;DACSB;rep_03
AS-760513-LR-60423;SW480;DMSO;rep_01
AS-760515-LR-60423;SW480;DACSB;rep_01
AS-760517-LR-60423;SW480;DMSO;rep_02
AS-760519-LR-60423;SW480;DACSB;rep_02
AS-760521-LR-60423;SW480;DMSO;rep_03
AS-760523-LR-60423;SW480;DACSB;rep_03
